GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
200611120POR,2007,Sun,11,12,2006,6:00 pm,Dallas,103,Portland,96
200611120SAC,2007,Sun,11,12,2006,6:00 pm,Toronto,92,Sacramento,107
200611120WAS,2007,Sun,11,12,2006,6:00 pm,Brooklyn,105,Washington,93,OT
200611130BOS,2007,Mon,11,13,2006,7:30 pm,Orlando,92,Boston,89
200611130NJN,2007,Mon,11,13,2006,7:30 pm,Seattle,119,Brooklyn,113
200611130NYK,2007,Mon,11,13,2006,7:30 pm,Cleveland,102,New York,96
200611140ATL,2007,Tue,11,14,2006,7:00 pm,Milwaukee,103,Atlanta,101
200611140DAL,2007,Tue,11,14,2006,7:30 pm,Chicago,99,Dallas,111
200611140GSW,2007,Tue,11,14,2006,7:30 pm,Toronto,99,Golden State,110
200611140HOU,2007,Tue,11,14,2006,7:30 pm,San Antonio,92,Houston,84
200611140MIA,2007,Tue,11,14,2006,7:30 pm,Denver,112,Miami,105
200611140MIN,2007,Tue,11,14,2006,7:00 pm,Portland,89,Minnesota,101
200611140NOK,2007,Tue,11,14,2006,7:00 pm,Charlotte,85,New Orleans,94
200611140UTA,2007,Tue,11,14,2006,7:00 pm,L.A. Clippers,90,Utah,112
200611150BOS,2007,Wed,11,15,2006,7:30 pm,Indiana,88,Boston,114
200611150CLE,2007,Wed,11,15,2006,7:00 pm,Portland,87,Cleveland,100
200611150DET,2007,Wed,11,15,2006,7:30 pm,New Orleans,100,Detroit,99
200611150NJN,2007,Wed,11,15,2006,7:30 pm,Milwaukee,87,Brooklyn,100
200611150NYK,2007,Wed,11,15,2006,7:30 pm,Washington,82,New York,102
200611150ORL,2007,Wed,11,15,2006,7:00 pm,Denver,99,Orlando,108
200611150SAC,2007,Wed,11,15,2006,6:00 pm,Memphis,111,Sacramento,115
200611150SAS,2007,Wed,11,15,2006,7:00 pm,Charlotte,95,San Antonio,92,OT
200611150SEA,2007,Wed,11,15,2006,7:00 pm,Philadelphia,96,Seattle,90
200611160GSW,2007,Thu,11,16,2006,7:30 pm,Sacramento,105,Golden State,117
200611160HOU,2007,Thu,11,16,2006,7:00 pm,Chicago,100,Houston,101
200611170BOS,2007,Fri,11,17,2006,7:30 pm,Portland,90,Boston,118
200611170CLE,2007,Fri,11,17,2006,7:30 pm,Minnesota,76,Cleveland,92
200611170DET,2007,Fri,11,17,2006,8:00 pm,Washington,91,Detroit,100
200611170IND,2007,Fri,11,17,2006,7:00 pm,Brooklyn,100,Indiana,91
200611170LAL,2007,Fri,11,17,2006,7:30 pm,Toronto,100,L.A. Lakers,107
200611170MEM,2007,Fri,11,17,2006,7:00 pm,Dallas,115,Memphis,103
200611170MIA,2007,Fri,11,17,2006,7:30 pm,New York,100,Miami,76
200611170PHO,2007,Fri,11,17,2006,8:30 pm,Philadelphia,94,Phoenix,106
200611170SAS,2007,Fri,11,17,2006,7:00 pm,Chicago,83,San Antonio,100
200611170SEA,2007,Fri,11,17,2006,7:30 pm,Utah,118,Seattle,109
200611180ATL,2007,Sat,11,18,2006,7:00 pm,Miami,93,Atlanta,88,OT
200611180DAL,2007,Sat,11,18,2006,7:30 pm,Memphis,84,Dallas,89
200611180DEN,2007,Sat,11,18,2006,7:00 pm,Toronto,109,Denver,117
200611180DET,2007,Sat,11,18,2006,7:30 pm,Houston,92,Detroit,104
200611180GSW,2007,Sat,11,18,2006,7:30 pm,Seattle,95,Golden State,107
200611180LAC,2007,Sat,11,18,2006,7:30 pm,Philadelphia,97,L.A. Clippers,103,OT
200611180MIL,2007,Sat,11,18,2006,7:30 pm,Indiana,102,Milwaukee,100
200611180MIN,2007,Sat,11,18,2006,7:00 pm,New Orleans,99,Minnesota,96
200611180NJN,2007,Sat,11,18,2006,7:30 pm,Portland,86,Brooklyn,68
200611180NYK,2007,Sat,11,18,2006,7:30 pm,Boston,122,New York,118
200611180ORL,2007,Sat,11,18,2006,7:00 pm,Charlotte,83,Orlando,97
200611180UTA,2007,Sat,11,18,2006,7:00 pm,Phoenix,117,Utah,120,OT
200611180WAS,2007,Sat,11,18,2006,7:00 pm,Cleveland,99,Washington,111
200611190LAL,2007,Sun,11,19,2006,5:00 pm,Chicago,72,L.A. Lakers,82
200611190SAC,2007,Sun,11,19,2006,6:00 pm,San Antonio,108,Sacramento,99
200611200CHA,2007,Mon,11,20,2006,7:00 pm,Dallas,93,Charlotte,85
200611200GSW,2007,Mon,11,20,2006,7:30 pm,Phoenix,113,Golden State,110
200611200MEM,2007,Mon,11,20,2006,7:00 pm,Orlando,86,Memphis,95
200611200NYK,2007,Mon,11,20,2006,7:30 pm,Houston,97,New York,90
200611200POR,2007,Mon,11,20,2006,7:00 pm,San Antonio,107,Portland,98
