GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201201060PHI,2012,Fri,01,6,2012,7:00 pm,Detroit,73,Philadelphia,96,"19,408"
201201060PHO,2012,Fri,01,6,2012,8:30 pm,Portland,77,Phoenix,102,"16,235"
201201060TOR,2012,Fri,01,6,2012,7:00 pm,Brooklyn,97,Toronto,85,"16,771"
201201060UTA,2012,Fri,01,6,2012,7:00 pm,Memphis,85,Utah,94,"19,503"
201201060WAS,2012,Fri,01,6,2012,7:00 pm,New York,99,Washington,96,"16,998"
201201070ATL,2012,Sat,01,7,2012,7:00 pm,Chicago,94,Atlanta,109,"17,112"
201201070DAL,2012,Sat,01,7,2012,8:00 pm,New Orleans Hornets,81,Dallas,96,"20,409"
201201070DET,2012,Sat,01,7,2012,7:30 pm,New York,103,Detroit,80,"12,044"
201201070GSW,2012,Sat,01,7,2012,7:30 pm,Utah,88,Golden State,87,"19,596"
201201070HOU,2012,Sat,01,7,2012,7:00 pm,Oklahoma City Thunder,98,Houston,95,"14,327"
201201070IND,2012,Sat,01,7,2012,7:00 pm,Charlotte,77,Indiana,99,"17,226"
201201070LAC,2012,Sat,01,7,2012,7:30 pm,Milwaukee,86,L.A. Clippers,92,"19,229"
201201070NJN,2012,Sat,01,7,2012,7:30 pm,Miami,101,Brooklyn,90,"18,711"
201201070PHI,2012,Sat,01,7,2012,8:00 pm,Toronto,62,Philadelphia,97,"14,522"
201201070SAS,2012,Sat,01,7,2012,7:30 pm,Denver,117,San Antonio,121,"17,537"
201201080LAL,2012,Sun,01,8,2012,6:30 pm,Memphis,82,L.A. Lakers,90,"18,997"
201201080OKC,2012,Sun,01,8,2012,6:00 pm,San Antonio,96,Oklahoma City Thunder,108,"18,203"
201201080PHO,2012,Sun,01,8,2012,6:00 pm,Milwaukee,93,Phoenix,109,"13,420"
201201080POR,2012,Sun,01,8,2012,6:00 pm,Cleveland,78,Portland,98,"20,292"
201201080SAC,2012,Sun,01,8,2012,3:00 pm,Orlando,104,Sacramento,97,"14,150"
201201080WAS,2012,Sun,01,8,2012,1:00 pm,Minnesota,93,Washington,72,"13,095"
201201090CHI,2012,Mon,01,9,2012,7:00 pm,Detroit,68,Chicago,92,"21,530"
201201090DEN,2012,Mon,01,9,2012,7:00 pm,New Orleans Hornets,94,Denver,81,"14,002"
201201090NJN,2012,Mon,01,9,2012,7:30 pm,Atlanta,106,Brooklyn,101,"12,259"
201201090NYK,2012,Mon,01,9,2012,7:30 pm,Charlotte,87,New York,91,"19,763"
201201090PHI,2012,Mon,01,9,2012,7:00 pm,Indiana,86,Philadelphia,96,"8,612"
201201090TOR,2012,Mon,01,9,2012,7:00 pm,Minnesota,87,Toronto,97,"14,097"
201201100CHA,2012,Tue,01,10,2012,7:00 pm,Houston,82,Charlotte,70,"13,421"
201201100DET,2012,Tue,01,10,2012,7:30 pm,Dallas,100,Detroit,86,"10,073"
201201100GSW,2012,Tue,01,10,2012,7:30 pm,Miami,106,Golden State,111,OT,"19,596"
201201100LAL,2012,Tue,01,10,2012,7:30 pm,Phoenix,83,L.A. Lakers,99,"18,997"
201201100MEM,2012,Tue,01,10,2012,7:00 pm,Oklahoma City Thunder,100,Memphis,95,"13,601"
201201100MIL,2012,Tue,01,10,2012,7:00 pm,San Antonio,103,Milwaukee,106,"11,585"
201201100MIN,2012,Tue,01,10,2012,7:00 pm,Chicago,111,Minnesota,100,"19,356"
201201100PHI,2012,Tue,01,10,2012,7:00 pm,Sacramento,85,Philadelphia,112,"10,255"
201201100POR,2012,Tue,01,10,2012,7:00 pm,L.A. Clippers,97,Portland,105,"20,381"
201201100UTA,2012,Tue,01,10,2012,7:00 pm,Cleveland,105,Utah,113,"17,859"
201201100WAS,2012,Tue,01,10,2012,7:00 pm,Toronto,78,Washington,93,"14,077"
201201110BOS,2012,Wed,01,11,2012,8:00 pm,Dallas,90,Boston,85,"18,624"
201201110CHI,2012,Wed,01,11,2012,7:00 pm,Washington,64,Chicago,78,"21,366"
201201110DEN,2012,Wed,01,11,2012,7:00 pm,Brooklyn,115,Denver,123,"14,139"
201201110IND,2012,Wed,01,11,2012,7:00 pm,Atlanta,84,Indiana,96,"10,334"
201201110LAC,2012,Wed,01,11,2012,7:30 pm,Miami,89,L.A. Clippers,95,OT,"19,341"
201201110NOH,2012,Wed,01,11,2012,7:00 pm,Oklahoma City Thunder,95,New Orleans Hornets,85,"13,565"
201201110NYK,2012,Wed,01,11,2012,7:30 pm,Philadelphia,79,New York,85,"19,763"
201201110POR,2012,Wed,01,11,2012,7:00 pm,Orlando,107,Portland,104,"20,467"
201201110SAS,2012,Wed,01,11,2012,7:30 pm,Houston,95,San Antonio,101,OT,"17,381"
201201110TOR,2012,Wed,01,11,2012,7:00 pm,Sacramento,98,Toronto,91,"14,323"
201201110UTA,2012,Wed,01,11,2012,7:00 pm,L.A. Lakers,90,Utah,87,OT,"19,642"
201201120ATL,2012,Thu,01,12,2012,7:30 pm,Charlotte,81,Atlanta,111,"10,597"
201201120GSW,2012,Thu,01,12,2012,7:30 pm,Orlando,117,Golden State,109,"17,754"
201201120MEM,2012,Thu,01,12,2012,7:00 pm,New York,83,Memphis,94,"15,324"
201201120MIL,2012,Thu,01,12,2012,7:00 pm,Detroit,93,Milwaukee,102,"11,465"
201201120PHO,2012,Thu,01,12,2012,7:00 pm,Cleveland,101,Phoenix,90,"14,636"
201201130BOS,2012,Fri,01,13,2012,8:00 pm,Chicago,88,Boston,79,"18,624"
201201130CHA,2012,Fri,01,13,2012,7:00 pm,Detroit,98,Charlotte,81,"18,043"
201201130DAL,2012,Fri,01,13,2012,7:30 pm,Milwaukee,76,Dallas,102,"20,112"
